#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
greco-italic;Greco-Italic;Greco-Italic;Greco-Italic;;Greco-Italic;;;;;;;;;x
PONTIFF;Pontiff;Pontiff;Pontiff;;Pontiff;;;;;;;;;x
FLAMEN;Flamen;Flamen;Flamen;;Flamen;;;;;;;;;x
FLAMINA;Flamina;Flamina;Flamina;;Flamina;;;;;;;;;x
FLAMEN_FOA;Lord Flamen;Lord Flamen;Lord Flamen;;Lord Flamen;;;;;;;;;x
mercurial;Mercurialis;Mercurialis;MercuriaÅlis;;Mercurialis;;;;;;;;;x
mercurial_DESC;Mercurialis is the henotheistic worship of the Roman god Mercury. It arose after the final collapse of the Western Empire, in response to declining interest in the state-promoted cult of Augustus.;Mercurialis is the henotheistic worship of the Roman god Mercury. It arose after the final collapse of the Western Empire, in response to declining interest in the state-promoted cult of Augustus.;Mercurialis is the henotheistic worship of the Roman god Mercury. It arose after the final collapse of the Western Empire, in response to declining interest in the state-promoted cult of Augustus.;;Mercurialis is the henotheistic worship of the Roman god Mercury. It arose after the final collapse of the Western Empire, in response to declining interest in the state-promoted cult of Augustus.;;;;;;;;;x
FORTUNUS;Fortunus;Fortunus;Fortunus;;Fortunus;;;;;;;;;x
MERCATOR;Mercator;Mercator;Mercator;;Mercator;;;;;;;;;x
ALIPES;Alipes;Alipes;Alipes;;Alipes;;;;;;;;;x
ORCUS;Orcus;Orcus;Orcus;;Orcus;;;;;;;;;x
apollonian;Apollonius;Apollonius;Apollonius;;Apolloçnius;;;;;;;;;x
PHOEBUS;Phoebus;Phoebus;Phoebus;;Phoebus;;;;;;;;;x
ACESTOR;Acestor;Acestor;Acestor;;Acestor;;;;;;;;;x
MANTICUS;Manticus;Manticus;Manticus;;Manticus;;;;;;;;;x
dianic;Dianic;Dianic;Dianic;;Dianic;;;;;;;;;x
TRIVIA;Trivia;Trivia;Trivia;;Trivia;;;;;;;;;x
NEMORENSIS;Nemorensis;Nemorensis;Nemorensis;;Nemorensis;;;;;;;;;x
LUCIFERA;Lucifera;Lucifera;Lucifera;;Lucifera;;;;;;;;;x
neptunal;Neptunius;Neptunius;Neptunius;;Neptunius;;;;;;;;;x
EQUESTER;Equester;Equester;Equester;;Equester;;;;;;;;;x
ISTHMIUS;Isthmius;Isthmius;Isthmius;;Isthmius;;;;;;;;;x
OCEANUS;Oceanus;Oceanus;Oceanus;;Oceanus;;;;;;;;;x
athenaic;Athenaios;Athenaios;Athenaios;;Athenaios;;;;;;;;;x
ATRYTONE;Atrytone;Atrytone;Atrytone;;Atrytone;;;;;;;;;x
PARTHENOS;Parthenos;Parthenos;Parthenos;;Parthenos;;;;;;;;;x
PROMACHOS;Promachos;Promachos;Promachos;;Promachos;;;;;;;;;x
saturnal;Saturnalis;Saturnalis;Saturnalis;;Saturnalis;;;;;;;;;x
STERQUILINUS;Sterquilinus;Sterquilinus;Sterquilinus;;Sterquilinus;;;;;;;;;x
AION;Aion;Aion;Aion;;Aion;;;;;;;;;x
DIS_PATER;Dis Pater;Dis Pater;Dis Pater;;Dis Pater;;;;;;;;;x

roman_rite;Roman Rite;Roman Rite;Roman Rite;;Roman Rite;;;;;;;;;x
gallic_rite;Gallic Rite;Gallic Rite;Gallic Rite;;Gallic Rite;;;;;;;;;x
hispanic_rite;Hispanic Rite;Hispanic Rite;Hispanic Rite;;Hispanic Rite;;;;;;;;;x
african_rite;African Rite;African Rite;African Rite;;African Rite;;;;;;;;;x
celtic_rite;Celtic Rite;Celtic Rite;Celtic Rite;;Celtic Rite;;;;;;;;;x
germanic_rite;German Rite;German Rite;German Rite;;German Rite;;;;;;;;;x
